"title","abstract"
"The Journal of general virology","The viral RNA-dependent RNA polymerase (RdRp; L protein) of Rift Valley fever virus (RVFV; family Bunyaviridae) is a 238 kDa protein that is crucial for the life cycle of the virus, as it catalyses both transcription of viral mRNAs and replication of the tripartite genome. Despite its importance, little is known about the intracellular distribution of the polymerase or its other roles during infection, primarily because of lack of specific antibodies that recognize L protein. To begin to address these questions we investigated whether the RVFV (MP12 strain) polymerase could tolerate insertion of the V5 epitope, as has been previously demonstrated for the Bunyamwera virus L protein. Insertion of the 14 aa epitope into the polymerase sequence at aa 1852 resulted in a polymerase that retained functionality in a minigenome assay, and we were able to rescue recombinant viruses that expressed the modified L protein by reverse genetics. The L protein could be detected in infected cells by Western blotting with anti-V5 antibodies. Examination of recombinant virus-infected cells by immunofluorescence revealed a punctate perinuclear or cytoplasmic distribution of the polymerase that co-localized with the nucleocapsid protein. The generation of RVFV expressing a tagged RdRp will allow detailed examination of the role of the viral polymerase in the virus life cycle."
"Emerging infectious diseases",NA
"Proceedings of the National Academy of Sciences of the United States of America","Rift Valley fever (RVF) is a zoonotic disease endemic in Africa and the Arabian Peninsula caused by the highly infectious Rift Valley fever virus (RVFV) that can be lethal to humans and animals and results in major losses in the livestock industry. RVF is exotic to the United States; however, mosquito species native to this region can serve as biological vectors for the virus. Thus, accidental or malicious introduction of this virus could result in RVFV becoming endemic in North America. Such an event would likely lead to significant morbidity and mortality in humans, and devastating economic effects on the livestock industry. Currently, there are no licensed vaccines for RVF that are both safe and efficacious. To address this issue, we developed two recombinant RVFV vaccines using vaccinia virus (VACV) as a vector for use in livestock. The first vaccine, vCOGnGc, was attenuated by the deletion of a VACV gene encoding an IFN-γ binding protein, insertional inactivation of the thymidine kinase gene, and expression of RVFV glycoproteins, Gn and Gc. The second vaccine, vCOGnGcγ, is identical to the first and also expresses the human IFN-γ gene to enhance safety. Both vaccines are extremely safe; neither resulted in weight loss nor death in severe combined immunodeficient mice, and pock lesions were smaller in baboons compared with the controls. Furthermore, both vaccines induced protective levels of antibody titers in vaccinated mice and baboons. Mice were protected from lethal RVFV challenge. Thus, we have developed two safe and efficacious recombinant vaccines for RVF."
"The Journal of general virology","The family Bunyaviridae of segmented, negative-stranded RNA viruses includes over 350 members that infect a bewildering variety of animals and plants. Many of these bunyaviruses are the causative agents of serious disease in their respective hosts, and are classified as emerging viruses because of their increased incidence in new populations and geographical locations throughout the world. Emerging bunyaviruses, such as Crimean-Congo hemorrhagic fever virus, tomato spotted wilt virus and Rift Valley fever virus, are currently attracting great interest due to migration of their arthropod vectors, a situation possibly linked to climate change. These and other examples of continued emergence suggest that bunyaviruses will probably continue to pose a sustained global threat to agricultural productivity, animal welfare and human health. The threat of emergence is particularly acute in light of the lack of effective preventative or therapeutic treatments for any of these viruses, making their study an important priority. This review presents recent advances in the understanding of the bunyavirus life cycle, including aspects of their molecular, cellular and structural biology. Whilst special emphasis is placed upon the emerging bunyaviruses, we also describe the extensive body of work involving model bunyaviruses, which have been the subject of major contributions to our overall understanding of this important group of viruses."
"Computational and mathematical methods in medicine","The basic reproductive ratio, R(0), is one of the fundamental concepts in mathematical biology. It is a threshold parameter, intended to quantify the spread of disease by estimating the average number of secondary infections in a wholly susceptible population, giving an indication of the invasion strength of an epidemic: if R(0) < 1, the disease dies out, whereas if R(0) > 1, the disease persists. R(0) has been widely used as a measure of disease strength to estimate the effectiveness of control measures and to form the backbone of disease-management policy. However, in almost every aspect that matters, R(0) is flawed. Diseases can persist with R(0) < 1, while diseases with R(0) > 1 can die out. We show that the same model of malaria gives many different values of R(0), depending on the method used, with the sole common property that they have a threshold at 1. We also survey estimated values of R(0) for a variety of diseases, and examine some of the alternatives that have been proposed. If R(0) is to be used, it must be accompanied by caveats about the method of calculation, underlying model assumptions and evidence that it is actually a threshold. Otherwise, the concept is meaningless."
"PLoS neglected tropical diseases","In endemic areas, Rift Valley fever virus (RVFV) is a significant threat to both human and animal health. Goals of this study were to measure human anti-RVFV seroprevalence in a high-risk area following the 2006-2007 Kenyan Rift Valley Fever (RVF) epidemic, to identify risk factors for interval seroconversion, and to monitor individuals previously exposed to RVFV in order to document the persistence of their anti-RVFV antibodies.We conducted a village cohort study in Ijara District, Northeastern Province, Kenya. One hundred two individuals tested for RVFV exposure before the 2006-2007 RVF outbreak were restudied to determine interval anti-RVFV seroconversion and persistence of humoral immunity since 2006. Ninety-two additional subjects were enrolled from randomly selected households to help identify risk factors for current seropositivity. Overall, 44/194 or 23% (CI(95%):17%-29%) of local residents were RVFV seropositive. 1/85 at-risk individuals restudied in the follow-up cohort had seroconverted since early 2006. 27/92 (29%, CI(95%): 20%-39%) of newly tested individuals were seropositive. All 13 individuals with positive titers (by plaque reduction neutralization testing (PRNT₈₀) in 2006 remained positive in 2009. After adjustment in multivariable logistic models, age, village, and drinking raw milk were significantly associated with RVFV seropositivity. Visual impairment (defined as ≤ 20/80) was much more likely in the RVFV-seropositive group (P<0.0001).Our results highlight significant variability in RVFV exposure in two neighboring villages having very similar climate, terrain, and insect density. Among those with previous exposure, RVFV titers remained at > 1∶40 for more than 3 years. In concordance with previous studies, residents of the more rural village were more likely to be seropositive and RVFV seropositivity was associated with poor visual acuity. Raw milk consumption was strongly associated with RVFV exposure, which may represent an important new focus for public health education during future RVF outbreaks."
"Journal of virological methods","The presence of competent vectors in some countries currently free of Rift Valley fever (RVF) and global changes in climate, travel and trade have increased the risk of RVF spreading to new regions and have emphasised the need for accurate and reliable diagnostic tools for early diagnosis during RVF outbreaks. Highly sensitive viral detection systems like PCR have a limited use during outbreaks because of the short duration of viraemia, whereas antibodies like specific IgM which are serological indicators of acute infection, can be detected for up to 50 days after infection. Using the highly conserved and immunogenic recombinant nucleoprotein of RVF virus in an IgM capture ELISA, the risk of laboratory infection associated with traditional serological methods is avoided. The use of pre-coated/pre-blocked ELISA plates and the conjugation of the recombinant nucleoprotein with horseradish peroxidase simplified and shortened the assay procedure. Results showed the assay to be highly reproducible with a lower detection limit equal to that of a commercial competition ELISA. By receiver operating characteristic (ROC) curve analysis the area under curve (AUC) index was determined as 1.0 and the diagnostic sensitivity and specificity at a PP cut-off value of 4.1 as 100% and 99.78% respectively. The results of this study demonstrated that the IgM capture ELISA is a safe, reliable and highly accurate diagnostic tool which can be used on its own or in parallel with other methods for the early diagnosis of RVF virus infection and also for monitoring of immune responses in vaccinated domestic ruminants.Copyright © 2011 Elsevier B.V. All rights reserved."
"Revue scientifique et technique (International Office of Epizootics)","While the international trade in small ruminants and small ruminant products is small relative to the trade in bovine, swine and poultry products, it is still economically important. In addition to wool, it includes some unique products (such as goat and sheep milk cheeses, cashmere fibre and karakul pelts) and the sheep/goat meat trade plays a large part in sustaining livelihoods in several regions of the world. The trade in small ruminants and their products also merits consideration because sheep and goats may transmit zoonotic diseases such as Rift Valley fever, Crimean Congo haemorrhagic fever, brucellosis and listeriosis. They also may transmit highly infectious livestock diseases, such as peste des petits ruminants, to naïve populations of small ruminants in other countries. This can have dramatic consequences, particularly for poor people whose livelihood often depends on small ruminants. In addition, sheep and goats can serve as an important source of foot and mouth disease (FMD) for cattle. This has enormous global trade implications and it is important, therefore, that sheep and goats be considered in FMD control programmes aimed at improving access to trade."
"Journal of invertebrate pathology","The baculovirus-insect cell expression system is a well-established technology for the production of heterologous viral (glyco)proteins in cultured cells, applicable for basic scientific research as well as for the development and production of vaccines and diagnostics. Arboviruses form an emerging group of medically important viral pathogens that are transmitted to humans and animals via arthropod vectors, mostly mosquitoes, ticks or midges. Few arboviral vaccines are currently available, but there is a growing need for safe and effective vaccines against some highly pathogenic arboviruses such as Chikungunya, dengue, West Nile, Rift Valley fever and Bluetongue viruses. This comprehensive review discusses the biology and current state of the art in vaccine development for arboviruses belonging to the families Togaviridae, Flaviviridae, Bunyaviridae and Reoviridae and the potential of the baculovirus-insect cell expression system for vaccine antigen production The members of three of these four arbovirus families have enveloped virions and display immunodominant glycoproteins with a complex structure at their surface. Baculovirus expression of viral antigens often leads to correctly folded and processed (glyco)proteins able to induce protective immunity in animal models and humans. As arboviruses occupy a unique position in the virosphere in that they also actively replicate in arthropod cells, the baculovirus-insect cell expression system is well suited to produce arboviral proteins with correct folding and post-translational processing. The opportunities for recombinant baculoviruses to aid in the development of safe and effective subunit and virus-like particle vaccines against arboviral diseases are discussed.Copyright © 2011 Elsevier Inc. All rights reserved."
"Emerging infectious diseases","Rift Valley fever virus (RVFV) has been the cause of disease outbreaks throughout Africa and the Arabian Peninsula, and the infection often results in heavy economic costs through loss of livestock. If RVFV, which is common to select agent lists of the US Department of Health and Human Services and the US Department of Agriculture, entered the United States, either by accidental or purposeful means, the effects could be substantial. A group of subject matter experts met in December 2009 to discuss potential implications of an introduction of RVF to the United States and review current modeling capabilities. This workshop followed a similar meeting held in April 2007. This report summarizes the 2 workshop proceedings. Discussions primarily highlighted gaps in current economic and epidemiologic RVF models as well as gaps in the overall epidemiology of the virus."
"Journal of virology","Rift Valley fever virus (RVFV; family Bunyaviridae) is a clinically important, mosquito-borne pathogen of both livestock and humans, which is found mainly in sub-Saharan Africa and the Arabian Peninsula. RVFV has a trisegmented single-stranded RNA (ssRNA) genome. The L and M segments are negative sense and encode the L protein (viral polymerase) on the L segment and the virion glycoproteins Gn and Gc as well as two other proteins, NSm and 78K, on the M segment. The S segment uses an ambisense coding strategy to express the nucleocapsid protein, N, and the nonstructural protein, NSs. Both the NSs and NSm proteins are dispensable for virus growth in tissue culture. Using reverse genetics, we generated a recombinant virus, designated r2segMP12, containing a two-segmented genome in which the NSs coding sequence was replaced with that for the Gn and Gc precursor. Thus, r2segMP12 lacks an M segment, and although it was attenuated in comparison to the three-segmented parental virus in both mammalian and insect cell cultures, it was genetically stable over multiple passages. We further show that the virus can stably maintain an M-like RNA segment encoding the enhanced green fluorescent protein gene. The implications of these findings for RVFV genome packaging and the potential to develop multivalent live-attenuated vaccines are discussed."
"Virology journal","Arthorpod-borne viruses (arboviruses) cause wide-spread morbidity in sub-Saharan Africa, but little research has documented the burden and distribution of these pathogens.Using a population-based, cross-sectional study design, we administered a detailed questionnaire and used ELISA to test the blood of 1,141 healthy Kenyan adults from three districts for the presence of anti-viral Immunoglobulin G (IgG) antibodies to the following viruses: dengue (DENV), West Nile (WNV), yellow fever (YFV), Chikungunya (CHIKV), and Rift Valley fever (RVFV).Of these, 14.4% were positive for DENV, 9.5% were WNV positive, 9.2% were YFV positive, 34.0% were positive for CHIKV and 0.7% were RVFV positive. In total, 46.6% had antibodies to at least one of these arboviruses.For all arboviruses, district of residence was strongly associated with seropositivity. Seroprevalence to YFV, DENV and WNV increased with age, while there was no correlation between age and seropositivity for CHIKV, suggesting that much of the seropositivity to CHIKV is due to sporadic epidemics. Paradoxically, literacy was associated with increased seropositivity of CHIKV and DENV."
"The Journal of infectious diseases","Rhesus macaques given 5 × 10(4) or 1 × 10(5) plaque-forming units (pfu) of Rift Valley fever (RVF) MP-12 vaccine by oral, intranasal drops, or small particle aerosol showed no adverse effects up to 56 days after administration. All monkeys given the vaccine by aerosol or intranasal drops developed 80% plaque reduction neutralization titers of ≥ 1:40 by day 21 after inoculation. Only 2 of 4 monkeys given the vaccine by oral instillation developed detectable neutralizing antibodies. All monkeys vaccinated by mucosal routes that developed detectable neutralizing antibodies were protected against viremia when challenged with 1 × 10(5) pfu of virulent RVF virus delivered by a small particle aerosol at 56 days after vaccination. A single inoculation of the RVF MP-12 live attenuated vaccine by the aerosol or intranasal route may provide an alternative route of protective immunization to RVFV in addition to conventional intramuscular injection."
"South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde","During 2008, Rift Valley fever (RVF) virus re-emerged in South Africa as focal outbreaks in several provinces.To investigate an outbreak affecting cattle farmers and farm workers, and the staff and students of a veterinary school, assess the prevalence of infection during the outbreak, document the clinical presentation of cases, and identify potential risk factors.We conducted a cross-sectional serological survey of exposed veterinarians and farmers, who were examined to determine the presence of current or recent illness. Blood specimens were collected for virus isolation, nucleic acid detection and serology. A subset was interviewed using a standardised questionnaire to obtain data on recent exposures and risk factors for infection.Of 53 participants potentially exposed to infected domestic ruminants, 15% had evidence of recent infection and 4% evidence of past exposure to the RVF virus. The prevalence of acute infection was 21% in veterinarians compared with 9% in farmers and farm workers. After a mean incubation period of 4.3 days, the most frequent symptoms experienced included myalgia (100%), headache (88%) and malaise (75%). No asymptomatic cases were identified. Transmission, by direct contact with infected animals was the major risk factor in these professional groups. Performing animal autopsies was significantly associated with acute infection (risk ratio 16.3, 95% confidence interval 2.3 - 114.2).Increased risks associated with veterinary practices highlight a need for the use of personal protective equipment, and identify veterinarians as a primary target group for future vaccination."
"Cell host & microbe","During natural transmission, bunyaviruses are introduced into the skin through arthropod bites, and dermal dendritic cells (DCs) are the first to encounter incoming viruses. DC-SIGN is a C-type lectin highly expressed on the surface of dermal DCs. We found that several arthropod-borne phleboviruses (Bunyaviridae), including Rift Valley fever and Uukuniemi viruses, exploit DC-SIGN to infect DCs and other DC-SIGN-expressing cells. DC-SIGN binds the virus directly via interactions with high-mannose N-glycans on the viral glycoproteins and is required for virus internalization and infection. In live cells, virus-induced clustering of cell surface DC-SIGN could be visualized. An endocytosis-defective mutant of DC-SIGN was unable to mediate virus uptake, indicating that DC-SIGN is an authentic receptor required for both attachment and endocytosis. After internalization, viruses separated from DC-SIGN and underwent trafficking to late endosomes. Our study provides real-time visualization of virus-receptor interactions on the cell surface and establishes DC-SIGN as a phlebovirus entry receptor.Copyright © 2011 Elsevier Inc. All rights reserved."
"Emerging infectious diseases",NA
"Saudi medical journal",NA
"Transboundary and emerging diseases","This review deals with the aetiology and the diagnosis of bovine viral abortion. While the abortion rates on beef and dairy cattle farms usually do not exceed 10%, significant economic losses because of abortion storms may be encountered. Determining the cause of abortions is usually a challenge, and it generally remains obscure in more than 50% of the necropsy submitted foetuses. Bovine viral diarrhoea virus and bovine herpesvirus-1 are the most common viruses causally associated with bovine abortions in farmed cattle globally. Rift Valley fever virus and bluetongue virus are important insect-transmitted abortogenic viruses. The geographic distribution of these two viruses is primarily dependent on the distribution of the insect vector, but direct transmission is possible. Recent global warming and subsequent insect vector expansion, coupled with the increase in international trade of animals and animal products, have been important factors in recent geographic advances of those two viruses. Bovine herpesviruses-4 and 5 in cattle, as well as other less frequent vector-borne viruses including epizootic haemorrhagic disease virus, Aino virus, Wesselsbron virus and lumpy skin disease virus, are discussed.© 2011 Blackwell Verlag GmbH."
"The Journal of infectious diseases","To test safety and efficacy of the Rift Valley fever MP-12 (RVF MP-12) vaccine, 9 healthy adult Rhesus macaques, weighing 5-10 kg, were inoculated intramuscularly with 6 × 10(3) plaque forming units (PFUs) of MP-12 vaccine. The monkeys developed neutralizing antibody responses with no adverse effects other than a transient, low-titer viremia in 3 monkeys. Four vaccinated animals challenged intravenously with 3 × 10(6) PFUs of virulent Rift Valley fever virus strain ZH-501 (RVFV ZH-501) at 126 days after vaccination were protected against infection. The remaining 5 vaccinated monkeys along with 2 monkeys that had been vaccinated 6 years prior were completely protected against a small particle aerosol challenge of 5 × 10(5) PFUs of RVFV ZH-501. The mutagen-attenuated RVF MP-12 vaccine was determined to be protective against intravenous and aerosol challenge with virulent RVFV in these macaques, which suggests further development as a vaccine for humans is warranted."
"Viruses","Rift Valley fever (RVF) is an emerging zoonotic disease distributed in sub-Saharan African countries and the Arabian Peninsula. The disease is caused by the Rift Valley fever virus (RVFV) of the family Bunyaviridae and the genus Phlebovirus. The virus is transmitted by mosquitoes, and virus replication in domestic ruminant results in high rates of mortality and abortion. RVFV infection in humans usually causes a self-limiting, acute and febrile illness; however, a small number of cases progress to neurological disorders, partial or complete blindness, hemorrhagic fever, or thrombosis. This review describes the pathology of RVF in human patients and several animal models, and summarizes the role of viral virulence factors and host factors that affect RVFV pathogenesis."
"Vaccine","Two modified live attenuated vaccines against the disease Rift Valley fever (RVF) have been tested for safety and efficacy in young calves. The RVF Smithburn vaccine produced in South Africa and used successfully to prevent and control the disease in endemic sub-Saharan countries was compared to the candidate vaccine RVF Clone 13. Five sero-negative calves per vaccine group were vaccinated with a single dose of each vaccine and tested for antibody response. All vaccinated calves were challenged with a highly virulent RVF virus together with five unvaccinated calves used as control of the challenge. Protection was confirmed in all vaccinated animals as they did not show any clinical signs typical of RVF. A good neutralizing antibody response was induced post-vaccination and no viraemia could be detected post-challenge in calves of both vaccine groups. All non-vaccinated control animals showed clinical symptoms of RVF, high viraemia and were euthanized. This study reported the first case of blindness in cattle resulting from virulent RVF virus infection in unvaccinated calves used as negative controls.Copyright © 2011 Elsevier Ltd. All rights reserved."
"Journal of medical entomology","Rift Valley fever virus (RVFV) causes outbreaks of severe disease in domestic ungulates as well as humans in Africa. There is a logical concern that RVFV could be introduced into the Americas and cause significant health and economic damage based on the precedent of the introduction and spread of West Nile virus (WNV). Unfortunately, there are currently no licensed diagnostic assays available for RVFV in the Americas. In this work, we report on the ability of a novel dipstick assay, VectorTest RVFV antigen assay, modeled on the VecTest assay for WNV, to detect a RVFV-infected female within a pool of mosquitoes. The dipsticks provided results in <20 min, were easy to use, and did not require a laboratory with containment facilities. Although readily able to detect a mosquito with a disseminated RVFV infection, it only occasionally detected RVFV in a mosquito with a nondisseminated infection, and therefore may fail to detect some pools that actually contain one or more positive mosquitoes. The RVFV dipstick assay was highly specific and did not react with samples to which had been added yellow fever, West Nile, Venezuelan equine encephalitis, sandfly fever Naples, sandfly fever Sicilian, or sandfly fever Toscana viruses. The RVFV assay can provide a rapid, safe, easy-to-use assay to alert public health personnel to the presence of RVFV in mosquitoes. Results from this assay will allow a rapid threat assessment and the focusing of vector control measures in high-risk areas."
"PloS one","Rift Valley fever (RVF) is a zoonotic disease caused by Rift Valley fever virus (RVFV). RVFV is a category A pathogen that belongs to the genus Phlebovirus, family Bunyaviridae. Understanding early host events to an infectious exposure to RVFV will be of significant use in the development of effective therapeutics that not only control pathogen multiplication, but also contribute to cell survival. In this study, we have carried out infections of human cells with a vaccine strain (MP12) and virulent strain (ZH501) of RVFV and determined host responses to viral infection. We demonstrate that the cellular antioxidant enzyme superoxide dismutase 1 (SOD1) displays altered abundances at early time points following exposure to the virus. We show that the enzyme is down regulated in cases of both a virulent (ZH501) and a vaccine strain (MP12) exposure. Our data demonstrates that the down regulation of SOD1 is likely to be due to post transcriptional processes and may be related to up regulation of TNFα following infection. We also provide evidence for extensive oxidative stress in the MP12 infected cells. Concomitantly, there is an increase in the activation of the p38 MAPK stress response, which our earlier published study demonstrated to be an essential cell survival strategy. Our data suggests that the viral anti-apoptotic protein NSm may play a role in the regulation of the cellular p38 MAPK response. Alterations in the host protein SOD1 following RVFV infection appears to be an early event that occurs in multiple cell types. Activation of the cellular stress response p38 MAPK pathway can be observed in all cell types tested. Our data implies that maintaining oxidative homeostasis in the infected cells may play an important role in improving survival of infected cells."
"Bioengineered bugs","Newcastle disease virus (NDV) is an avian virus that is being evaluated as a vaccine vector for the delivery of foreign genes in mammals. The use of NDV as a vaccine vector in these species offers two major advantages. First, NDV is highly attenuated in mammals, rendering its use inherently safe. Second, mammals lack pre-existing NDV immunity, which minimizes the risk of vaccination failure. NDV-vector vaccines are generally administered to mammals via the respiratory route. We recently showed that intramuscular vaccination with NDV-based Rift Valley fever virus (RVFV) vaccines provides complete protection in mice and induces neutralizing antibodies in sheep and cattle, the main target species of RVFV. Here, we discuss the use of NDV as a vaccine vector for applications in mammalian livestock with an emphasis on the vaccination route. We also report the results of novel experiments that underscore our notion that vaccination via a parenteral route is more effective than immunization via the respiratory route.© 2011 Landes Bioscience"
"PLoS neglected tropical diseases","Most arthropod-borne viruses (arboviruses) are RNA viruses, which are maintained in nature by replication cycles that alternate between arthropod and vertebrate hosts. Arboviruses appear to experience lower rates of evolution than RNA viruses that replicate in a single host. This genetic stability is assumed to result from a fitness trade-off imposed by host alternation, which constrains arbovirus genome evolution. To test this hypothesis, we used Rift Valley fever virus (RVFV), an arbovirus that can be transmitted either directly (between vertebrates during the manipulation of infected tissues, and between mosquitoes by vertical transmission) or indirectly (from one vertebrate to another by mosquito-borne transmission).RVFV was serially passaged in BHK21 (hamster) or Aag2 (Aedes aegypti) cells, or in alternation between the two cell types. After 30 passages, these single host-passaged viruses lost their virulence and induced protective effects against a challenge with a virulent virus. Large deletions in the NSs gene that encodes the virulence factor were detectable from the 15(th) serial passage onwards in BHK21 cells and from the 10(th) passage in Aag2 cells. The phosphoprotein NSs is not essential to viral replication allowing clones carrying deletions in NSs to predominate as they replicate slightly more rapidly. No genetic changes were found in viruses that were passaged alternately between arthropod and vertebrate cells. Furthermore, alternating passaged viruses presenting complete NSs gene remained virulent after 30 passages.Our results strongly support the view that alternating replication is necessary to maintain the virulence factor carried by the NSs phosphoprotein."
"Parasitology research","Mosquitoes (Diptera: Culicidae) are important vectors of human disease-causing pathogens. Mosquitoes are found both in rural and urban areas. Deteriorating infrastructure, poor access to health, water and sanitation services, increasing population density, and widespread poverty contribute to conditions that modify the environment, which directly influences the risk of disease within the urban and peri-urban ecosystem. The objective of this study was to evaluate the mosquito vector abundance and diversity in urban, peri-urban, and rural strata in Malindi along the Kenya coast. The study was conducted in the coastal district of Malindi between January and December 2005. Three strata were selected which were described as urban, peri-urban, and rural. Sampling was done during the wet and dry seasons. Sampling in the wet season was done in the months of April and June to cover the long rainy season and in November and December to cover the short rainy season, while the dry season was between January and March and September and October. Adult mosquito collection was done using Pyrethrum Spray Collection (PSC) and Centers for Disease Control and Prevention (CDC) light traps inside houses and specimens were identified morphologically. In the three strata (urban, peri-urban, and rural), 78.5% of the total mosquito (n = 7,775) were collected using PSC while 18.1% (n = 1,795) were collected using the CDC light traps. Using oviposition traps, mosquito eggs were collected and reared in the insectary which yielded 329 adults of which 83.8% (n = 276) were Aedes aegypti and 16.2% (n = 53) were Culex quinquefasciatus. The mosquito distribution in the three sites varied significantly in each collection site. Anopheles gambiae, Anopheles funestus and Anopheles coustani were predominant in the rural stratum while C. quinquefasciatus was mostly found in urban and peri-urban strata. However, using PSC and CDC light trap collection techniques, A. aegypti was only found in urban strata. In the three strata, mosquitoes were mainly found in high numbers during the wet season. Further, A. gambiae, C. quinquefasciatus, and A. aegypti mosquitoes were found occurring together inside the houses. This in turn exposes the inhabitants to an array of mosquito-borne diseases including malaria, bancroftian filariasis, and arboviruses (dengue fever, Yellow fever, Rift Valley fever, Chikungunya fever, and West Nile Virus). In conclusion, our findings provide useful information for the design of integrated mosquito and disease control programs in East African environments."
"Acta biotheoretica","Rift Valley Fever is a vector-borne disease mainly transmitted by mosquito. To gain some quantitative insights into its dynamics, a deterministic model with mosquito, livestock, and human host is formulated as a system of nonlinear ordinary differential equations and analyzed. The disease threshold [Formula: see text] is computed and used to investigate the local stability of the equilibria. A sensitivity analysis is performed and the most sensitive model parameters to the measure of initial disease transmission [Formula: see text] and the endemic equilibrium are determined. Both [Formula: see text] and the disease prevalence in mosquitoes are more sensitive to the natural mosquito death rate, d(m). The disease prevalence in livestock and humans are more sensitive to livestock and human recruitment rates, [Formula: see text] and [Formula: see text], respectively, suggesting isolation of livestock from humans is a viable preventive strategy during an outbreak. Numerical simulations support the analytical results in further exploring theoretically the long-term dynamics of the disease at the population level."
"Proceedings of the National Academy of Sciences of the United States of America","Vector infection by some animal-infecting parasites results in altered feeding that enhances transmission. Modification of vector behavior is of broad adaptive significance, as parasite fitness relies on passage to a new host, and vector feeding is nearly always essential for transmission. Although several plant viruses infect their insect vectors, we have shown that vector infection by a plant virus alters feeding behavior. Here we show that infection with Tomato spotted wilt virus (TSWV), type member of the only plant-infecting genus in the Bunyaviridae, alters the feeding behavior of its thrips vector, Frankliniella occidentalis (Pergande). Male thrips infected with TSWV fed more than uninfected males, with the frequency of all feeding behaviors increasing by up to threefold, thus increasing the probability of virus inoculation. Importantly, infected males made almost three times more noningestion probes (probes in which they salivate, but leave cells largely undamaged) compared with uninfected males. A functional cell is requisite for TSWV infection and cell-to-cell movement; thus, this behavior is most likely to establish virus infection. Some animal-infecting members of the Bunyaviridae (La Crosse virus and Rift Valley fever virus) also cause increased biting rates in infected vectors. Concomitantly, these data support the hypothesis that capacity to modify vector feeding behavior is a conserved trait among plant- and animal-infecting members of the Bunyaviridae that evolved as a mechanism to enhance virus transmission. Our results underscore the evolutionary importance of vector behavioral modification to diverse parasites with host ranges spanning both plant and animal kingdoms."
"Journal of comparative pathology","Lymphoplasmacytic endotheliitis and anterior uveitis was diagnosed in four lambs infected experimentally with field isolates of Rift Valley fever virus (RVFV). Formalin-fixed and paraffin wax-embedded tissue from these animals was investigated by histopathology and quantitative real time reverse transcriptase polymerase chain reaction. To our knowledge, this is the first pathological description of this ocular manifestation of RVFV infection in ruminants, although these lesions have been described in man.Copyright © 2011 Elsevier Ltd. All rights reserved."
"PLoS pathogens","Rift Valley fever virus (RVFV), a Phlebovirus with a genome consisting of three single-stranded RNA segments, is spread by infected mosquitoes and causes large viral outbreaks in Africa. RVFV encodes a nucleoprotein (N) that encapsidates the viral RNA. The N protein is the major component of the ribonucleoprotein complex and is also required for genomic RNA replication and transcription by the viral polymerase. Here we present the 1.6 Å crystal structure of the RVFV N protein in hexameric form. The ring-shaped hexamers form a functional RNA binding site, as assessed by mutagenesis experiments. Electron microscopy (EM) demonstrates that N in complex with RNA also forms rings in solution, and a single-particle EM reconstruction of a hexameric N-RNA complex is consistent with the crystallographic N hexamers. The ring-like organization of the hexamers in the crystal is stabilized by circular interactions of the N terminus of RVFV N, which forms an extended arm that binds to a hydrophobic pocket in the core domain of an adjacent subunit. The conformation of the N-terminal arm differs from that seen in a previous crystal structure of RVFV, in which it was bound to the hydrophobic pocket in its own core domain. The switch from an intra- to an inter-molecular interaction mode of the N-terminal arm may be a general principle that underlies multimerization and RNA encapsidation by N proteins from Bunyaviridae. Furthermore, slight structural adjustments of the N-terminal arm would allow RVFV N to form smaller or larger ring-shaped oligomers and potentially even a multimer with a super-helical subunit arrangement. Thus, the interaction mode between subunits seen in the crystal structure would allow the formation of filamentous ribonucleocapsids in vivo. Both the RNA binding cleft and the multimerization site of the N protein are promising targets for the development of antiviral drugs."
"Acta tropica","In June, 2003, Egypt's hospital-based electronic disease surveillance system began to record increased cases of acute febrile illness from governorates in the Nile Delta. In response to a request for assistance from the Egyptian Ministry of Health and the World Health Organization (WHO), the U.S. Naval Medical Research Unit No. 3 (NAMRU-3) provided assistance in identifying the cause and extent of this outbreak. Testing of human clinical samples (n=375) from nine governorates in Egypt identified 29 cases of RVF viremia that spanned the period of June to October, and a particular focus of disease in Kafr el Sheikh governorate (7.7% RVF infection rate). Veterinary samples (n=101) collected during this time in Kafr el Sheikh and screened by immunoassay for RVFV-specific IgM identified probable recent infections in cattle (10.4%) and sheep (5%). Entomologic investigations that focused in rural, rice growing villages in the Sidi Salim District of Kafr el Sheikh during August-September, 2003, collected, identified, and tested host-seeking female mosquitoes for the presence of pathogenic viruses. Three isolates of RVF virus (RVFV) were obtained from 297 tested pools of female mosquitoes and all three RVFV isolates came from Cx. antennatus (Becker). While Cx. pipiens has been considered the primary vector of RVF virus in Egypt and is often the most common man-biting species found, Cx. antennatus was the dominant species captured at the 2003 outbreak location in Kafr el Sheikh governorate. This is the first time that Cx. antennatus has been found naturally infected with RVFV in Egypt.Published by Elsevier B.V."
