Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Rift Valley fever: the Nigerian story.","/pubmed/21240849","Adeyeye AA, Ekong PS, Pilau NN.","Vet Ital. 2011 Jan-Mar;47(1):35-40.","Vet Ital.  2011","PubMed","citation","PMID:21240849","pubmed","21240849","create date:2011/01/18 | first author:Adeyeye AA",
"Measuring the burden of arboviral diseases: the spectrum of morbidity and mortality from four prevalent infections.","/pubmed/21219615","Labeaud AD, Bashir F, King CH.","Popul Health Metr. 2011 Jan 10;9(1):1. doi: 10.1186/1478-7954-9-1.","Popul Health Metr.  2011","PubMed","citation","PMID:21219615 | PMCID:PMC3024945","pubmed","21219615","create date:2011/01/12 | first author:Labeaud AD",
"Rift Valley fever virus(Bunyaviridae: Phlebovirus): an update on pathogenesis, molecular epidemiology, vectors, diagnostics and prevention.","/pubmed/21188836","Pepin M, Bouloy M, Bird BH, Kemp A, Paweska J.","Vet Res. 2010 Nov-Dec;41(6):61.","Vet Res.  2010","PubMed","citation","PMID:21188836 | PMCID:PMC2896810","pubmed","21188836","create date:2010/12/29 | first author:Pepin M",
"Mechanism of tripartite RNA genome packaging in Rift Valley fever virus.","/pubmed/21187405","Terasaki K, Murakami S, Lokugamage KG, Makino S.","Proc Natl Acad Sci U S A. 2011 Jan 11;108(2):804-9. doi: 10.1073/pnas.1013155108. Epub 2010 Dec 27.","Proc Natl Acad Sci U S A.  2011","PubMed","citation","PMID:21187405 | PMCID:PMC3021031","pubmed","21187405","create date:2010/12/29 | first author:Terasaki K",
"[Assessment of the risk of introduction to Tunisia of the Rift Valley fever virus by the mosquito Culex pipiens].","/pubmed/21184293","Krida G, Diancourt L, Bouattour A, Rhim A, Chermiti B, Failloux AB.","Bull Soc Pathol Exot. 2011 Oct;104(4):250-9. doi: 10.1007/s13149-010-0122-4. Epub 2010 Dec 23. French. ","Bull Soc Pathol Exot.  2011","PubMed","citation","PMID:21184293","pubmed","21184293","create date:2010/12/25 | first author:Krida G",
"Emerging tropical diseases in Australia. Part 4. Mosquitoborne diseases.","/pubmed/21144182","van den Hurk AF, Craig SB, Tulsiani SM, Jansen CC.","Ann Trop Med Parasitol. 2010 Dec;104(8):623-40. doi: 10.1179/136485910X12851868779984. Review.","Ann Trop Med Parasitol.  2010","PubMed","citation","PMID:21144182","pubmed","21144182","create date:2010/12/15 | first author:van den Hurk AF",
"Rift valley fever virus infection of human cells and insect hosts is promoted by protein kinase C epsilon.","/pubmed/21124804","Filone CM, Hanna SL, Caino MC, Bambina S, Doms RW, Cherry S.","PLoS One. 2010 Nov 24;5(11):e15483. doi: 10.1371/journal.pone.0015483.","PLoS One.  2010","PubMed","citation","PMID:21124804 | PMCID:PMC2991366","pubmed","21124804","create date:2010/12/03 | first author:Filone CM",
"Planning for Rift Valley fever virus: use of geographical information systems to estimate the human health threat of white-tailed deer (Odocoileus virginianus)-related transmission.","/pubmed/21080319","Kakani S, LaBeaud AD, King CH.","Geospat Health. 2010 Nov;5(1):33-43.","Geospat Health.  2010","PubMed","citation","PMID:21080319 | PMCID:PMC3140430","pubmed","21080319","create date:2010/11/17 | first author:Kakani S",
"TerraSAR-X high-resolution radar remote sensing: an operational warning system for Rift Valley fever risk.","/pubmed/21080318","Vignolles C, Tourre YM, Mora O, Imanache L, Lafaye M.","Geospat Health. 2010 Nov;5(1):23-31.","Geospat Health.  2010","PubMed","citation","PMID:21080318","pubmed","21080318","create date:2010/11/17 | first author:Vignolles C",
"Reverse-phase phosphoproteome analysis of signaling pathways induced by Rift valley fever virus in human small airway epithelial cells.","/pubmed/21072193","Popova TG, Turell MJ, Espina V, Kehn-Hall K, Kidd J, Narayanan A, Liotta L, Petricoin EF 3rd, Kashanchi F, Bailey C, Popov SG.","PLoS One. 2010 Nov 3;5(11):e13805. doi: 10.1371/journal.pone.0013805.","PLoS One.  2010","PubMed","citation","PMID:21072193 | PMCID:PMC2972203","pubmed","21072193","create date:2010/11/13 | first author:Popova TG",
"Detection, isolation, and genetic characterization of Rift Valley fever virus from Anopheles (Anopheles) coustani, Anopheles (Anopheles) squamosus, and Culex (Culex) antennatus of the Haute Matsiatra region, Madagascar.","/pubmed/21028960","Ratovonjato J, Olive MM, Tantely LM, Andrianaivolambo L, Tata E, Razainirina J, Jeanmaire E, Reynes JM, Elissa N.","Vector Borne Zoonotic Dis. 2011 Jun;11(6):753-9. doi: 10.1089/vbz.2010.0031. Epub 2010 Oct 28.","Vector Borne Zoonotic Dis.  2011","PubMed","citation","PMID:21028960","pubmed","21028960","create date:2010/10/30 | first author:Ratovonjato J",
"Pathogenic landscapes: interactions between land, people, disease vectors, and their animal hosts.","/pubmed/20979609","Lambin EF, Tran A, Vanwambeke SO, Linard C, Soti V.","Int J Health Geogr. 2010 Oct 27;9:54. doi: 10.1186/1476-072X-9-54.","Int J Health Geogr.  2010","PubMed","citation","PMID:20979609 | PMCID:PMC2984574","pubmed","20979609","create date:2010/10/29 | first author:Lambin EF",
"Risk assessment of the introduction of Rift Valley fever from the Horn of Africa to Yemen via legal trade of small ruminants.","/pubmed/20967567","Abdo-Salem S, Waret-Szkuta A, Roger F, Olive MM, Saeed K, Chevalier V.","Trop Anim Health Prod. 2011 Feb;43(2):471-80. doi: 10.1007/s11250-010-9719-7. Epub 2010 Oct 22.","Trop Anim Health Prod.  2011","PubMed","citation","PMID:20967567","pubmed","20967567","create date:2010/10/23 | first author:Abdo-Salem S",
"Potential for North American mosquitoes (Diptera: Culicidae) to transmit rift valley fever virus.","/pubmed/20939385","Turell MJ, Wilson WC, Bennett KE.","J Med Entomol. 2010 Sep;47(5):884-9.","J Med Entomol.  2010","PubMed","citation","PMID:20939385","pubmed","20939385","create date:2010/10/14 | first author:Turell MJ",
"A new mouse model reveals a critical role for host innate immunity in resistance to Rift Valley fever.","/pubmed/20937849","do Valle TZ, Billecocq A, Guillemot L, Alberts R, Gommet C, Geffers R, Calabrese K, Schughart K, Bouloy M, Montagutelli X, Panthier JJ.","J Immunol. 2010 Nov 15;185(10):6146-56. doi: 10.4049/jimmunol.1000949. Epub 2010 Oct 11.","J Immunol.  2010","PubMed","citation","PMID:20937849","pubmed","20937849","create date:2010/10/13 | first author:do Valle TZ",
"Protection of sheep against Rift Valley fever virus and sheep poxvirus with a recombinant capripoxvirus vaccine.","/pubmed/20876822","Soi RK, Rurangirwa FR, McGuire TC, Rwambo PM, DeMartini JC, Crawford TB.","Clin Vaccine Immunol. 2010 Dec;17(12):1842-9. doi: 10.1128/CVI.00220-10. Epub 2010 Sep 28.","Clin Vaccine Immunol.  2010","PubMed","citation","PMID:20876822 | PMCID:PMC3008189","pubmed","20876822","create date:2010/09/30 | first author:Soi RK",
"Toscana virus induces interferon although its NSs protein reveals antagonistic activity.","/pubmed/20861320","Gori Savellini G, Weber F, Terrosi C, Habjan M, Martorelli B, Cusi MG.","J Gen Virol. 2011 Jan;92(Pt 1):71-9. doi: 10.1099/vir.0.025999-0. Epub 2010 Sep 22.","J Gen Virol.  2011","PubMed","citation","PMID:20861320","pubmed","20861320","create date:2010/09/24 | first author:Gori Savellini G",
"Interview with Dr. Anthony R. Fooks. Interview by Vicki Glaser.","/pubmed/20854027","Fooks AR.","Vector Borne Zoonotic Dis. 2010 Oct;10(7):719-22. doi: 10.1089/vbz.2010.10.7.int. No abstract available. ","Vector Borne Zoonotic Dis.  2010","PubMed","citation","PMID:20854027","pubmed","20854027","create date:2010/09/22 | first author:Fooks AR",
"Interventions against West Nile virus, Rift Valley fever virus, and Crimean-Congo hemorrhagic fever virus: where are we?","/pubmed/20854026","Kortekaas J, Ergönül O, Moormann RJ.","Vector Borne Zoonotic Dis. 2010 Oct;10(7):709-18. doi: 10.1089/vbz.2010.0040.","Vector Borne Zoonotic Dis.  2010","PubMed","citation","PMID:20854026","pubmed","20854026","create date:2010/09/22 | first author:Kortekaas J",
"Virus-like particles expressing the nucleocapsid gene as an efficient vaccine against Rift Valley fever virus.","/pubmed/20854024","Pichlmair A, Habjan M, Unger H, Weber F.","Vector Borne Zoonotic Dis. 2010 Oct;10(7):701-3. doi: 10.1089/vbz.2009.0248.","Vector Borne Zoonotic Dis.  2010","PubMed","citation","PMID:20854024","pubmed","20854024","create date:2010/09/22 | first author:Pichlmair A",
"Comparison of enzyme-linked immunosorbent assay-based techniques for the detection of antibody to Rift Valley fever virus in thermochemically inactivated sheep sera.","/pubmed/20854023","van Vuren PJ, Paweska JT.","Vector Borne Zoonotic Dis. 2010 Oct;10(7):697-9. doi: 10.1089/vbz.2009.0213.","Vector Borne Zoonotic Dis.  2010","PubMed","citation","PMID:20854023","pubmed","20854023","create date:2010/09/22 | first author:van Vuren PJ",
"Experimental infection of young adult European breed sheep with Rift Valley fever virus field isolates.","/pubmed/20854022","Busquets N, Xavier F, Martín-Folgar R, Lorenzo G, Galindo-Cardiel I, del Val BP, Rivas R, Iglesias J, Rodríguez F, Solanes D, Domingo M, Brun A.","Vector Borne Zoonotic Dis. 2010 Oct;10(7):689-96. doi: 10.1089/vbz.2009.0205.","Vector Borne Zoonotic Dis.  2010","PubMed","citation","PMID:20854022","pubmed","20854022","create date:2010/09/22 | first author:Busquets N",
"Replication of Clone 13, a naturally attenuated avirulent isolate of Rift Valley fever virus, in Aedes and Culex mosquitoes.","/pubmed/20854021","Moutailler S, Krida G, Madec Y, Bouloy M, Failloux AB.","Vector Borne Zoonotic Dis. 2010 Oct;10(7):681-8. doi: 10.1089/vbz.2009.0246.","Vector Borne Zoonotic Dis.  2010","PubMed","citation","PMID:20854021","pubmed","20854021","create date:2010/09/22 | first author:Moutailler S",
"The pathogenesis of Rift Valley fever virus in the mouse model.","/pubmed/20850165","Smith DR, Steele KE, Shamblin J, Honko A, Johnson J, Reed C, Kennedy M, Chapman JL, Hensley LE.","Virology. 2010 Nov 25;407(2):256-67. doi: 10.1016/j.virol.2010.08.016. Epub 2010 Sep 17.","Virology.  2010","PubMed","citation","PMID:20850165","pubmed","20850165","create date:2010/09/21 | first author:Smith DR",
"Rift Valley Fever: scientific pathways to public health prevention and response. Proceedings of a workshop. May 2008. Nairobi.","/pubmed/20824895","[No authors listed]","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):1-85. No abstract available. ","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20824895","pubmed","20824895","create date:2010/09/09",
"Epidemiological investigation of bovine ephemeral Fever outbreaks in Israel.","/pubmed/20814543","Yeruham I, Van Ham M, Stram Y, Friedgut O, Yadin H, Mumcuoglu KY, Braverman Y.","Vet Med Int. 2010 Aug 15;2010. doi:pii: 290541.  10.4061/2010/290541.","Vet Med Int.  2010","PubMed","citation","PMID:20814543 | PMCID:PMC2931382","pubmed","20814543","create date:2010/09/04 | first author:Yeruham I",
"The American Society for Virology--29th Annual Meeting.","/pubmed/20799142","Minieri Arroyo J.","IDrugs. 2010 Sep;13(9):615-8.","IDrugs.  2010","PubMed","citation","PMID:20799142","pubmed","20799142","create date:2010/08/28 | first author:Minieri Arroyo J",
"Decision-support tool for prevention and control of Rift Valley fever epizootics in the Greater Horn of Africa.","/pubmed/20682910","Consultative Group for RVF Decision Support.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):75-85. doi: 10.4269/ajtmh.2010.83s2a03.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682910 | PMCID:PMC2913494","pubmed","20682910","create date:2010/08/13 | first author:Consultative Group for RVF Decision Support",
"The historical and recent impact of Rift Valley fever in Africa.","/pubmed/20682909","Davies FG.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):73-4. doi: 10.4269/ajtmh.2010.83s2a02. No abstract available. ","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682909 | PMCID:PMC2913498","pubmed","20682909","create date:2010/08/13 | first author:Davies FG",
"Epidemiological assessment of the Rift Valley fever outbreak in Kenya and Tanzania in 2006 and 2007.","/pubmed/20682908","Jost CC, Nzietchueng S, Kihu S, Bett B, Njogu G, Swai ES, Mariner JC.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):65-72. doi: 10.4269/ajtmh.2010.09-0290.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682908 | PMCID:PMC2913500","pubmed","20682908","create date:2010/08/13 | first author:Jost CC",
"Rift Valley fever outbreak in livestock in Kenya, 2006-2007.","/pubmed/20682907","Munyua P, Murithi RM, Wainwright S, Githinji J, Hightower A, Mutonga D, Macharia J, Ithondeka PM, Musaa J, Breiman RF, Bloland P, Njenga MK.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):58-64. doi: 10.4269/ajtmh.2010.09-0292.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682907 | PMCID:PMC2913503","pubmed","20682907","create date:2010/08/13 | first author:Munyua P",
"An assessment of the regional and national socio-economic impacts of the 2007 Rift Valley fever outbreak in Kenya.","/pubmed/20682906","Rich KM, Wanyoike F.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):52-7. doi: 10.4269/ajtmh.2010.09-0291.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682906 | PMCID:PMC2913501","pubmed","20682906","create date:2010/08/13 | first author:Rich KM",
"Prediction, assessment of the Rift Valley fever activity in East and Southern Africa 2006-2008 and possible vector control strategies.","/pubmed/20682905","Anyamba A, Linthicum KJ, Small J, Britch SC, Pak E, de La Rocque S, Formenty P, Hightower AW, Breiman RF, Chretien JP, Tucker CJ, Schnabel D, Sang R, Haagsma K, Latham M, Lewandowski HB, Magdi SO, Mohamed MA, Nguku PM, Reynes JM, Swanepoel R.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):43-51. doi: 10.4269/ajtmh.2010.09-0289.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682905 | PMCID:PMC2913499","pubmed","20682905","create date:2010/08/13 | first author:Anyamba A",
"Pathologic studies on suspect animal and human cases of Rift Valley fever from an outbreak in Eastern Africa, 2006-2007.","/pubmed/20682904","Shieh WJ, Paddock CD, Lederman E, Rao CY, Gould LH, Mohamed M, Mosha F, Mghamba J, Bloland P, Njenga MK, Mutonga D, Samuel AA, Guarner J, Breiman RF, Zaki SR.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):38-42. doi: 10.4269/ajtmh.2010.09-0463.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682904 | PMCID:PMC2913495","pubmed","20682904","create date:2010/08/13 | first author:Shieh WJ",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Rift Valley fever virus epidemic in Kenya, 2006/2007: the entomologic investigations.","/pubmed/20682903","Sang R, Kioko E, Lutomiah J, Warigia M, Ochieng C, O'Guinn M, Lee JS, Koka H, Godsey M, Hoel D, Hanafi H, Miller B, Schnabel D, Breiman RF, Richardson J.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):28-37. doi: 10.4269/ajtmh.2010.09-0319.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682903 | PMCID:PMC2913497","pubmed","20682903","create date:2010/08/13 | first author:Sang R",
"Epidemiologic and clinical aspects of a Rift Valley fever outbreak in humans in Tanzania, 2007.","/pubmed/20682902","Mohamed M, Mosha F, Mghamba J, Zaki SR, Shieh WJ, Paweska J, Omulo S, Gikundi S, Mmbuji P, Bloland P, Zeidner N, Kalinga R, Breiman RF, Njenga MK.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):22-7. doi: 10.4269/ajtmh.2010.09-0318.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682902 | PMCID:PMC2913502","pubmed","20682902","create date:2010/08/13 | first author:Mohamed M",
"Risk factors for severe Rift Valley fever infection in Kenya, 2007.","/pubmed/20682901","Anyangu AS, Gould LH, Sharif SK, Nguku PM, Omolo JO, Mutonga D, Rao CY, Lederman ER, Schnabel D, Paweska JT, Katz M, Hightower A, Njenga MK, Feikin DR, Breiman RF.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):14-21. doi: 10.4269/ajtmh.2010.09-0293.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682901 | PMCID:PMC2913492","pubmed","20682901","create date:2010/08/13 | first author:Anyangu AS",
"An investigation of a major outbreak of Rift Valley fever in Kenya: 2006-2007.","/pubmed/20682900","Nguku PM, Sharif SK, Mutonga D, Amwayi S, Omolo J, Mohammed O, Farnon EC, Gould LH, Lederman E, Rao C, Sang R, Schnabel D, Feikin DR, Hightower A, Njenga MK, Breiman RF.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):5-13. doi: 10.4269/ajtmh.2010.09-0288.","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682900 | PMCID:PMC2913496","pubmed","20682900","create date:2010/08/13 | first author:Nguku PM",
"Rift Valley Fever: scientific pathways toward public health prevention and response.","/pubmed/20682899","Breiman RF, Minjauw B, Sharif SK, Ithondeka P, Njenga MK.","Am J Trop Med Hyg. 2010 Aug;83(2 Suppl):1-4. doi: 10.4269/ajtmh.2010.83s2a01. No abstract available. ","Am J Trop Med Hyg.  2010","PubMed","citation","PMID:20682899 | PMCID:PMC2913493","pubmed","20682899","create date:2010/08/13 | first author:Breiman RF",
"Screening mosquito house entry points as a potential method for integrated control of endophagic filariasis, arbovirus and malaria vectors.","/pubmed/20689815","Ogoma SB, Lweitoijera DW, Ngonyani H, Furer B, Russell TL, Mukabana WR, Killeen GF, Moore SJ.","PLoS Negl Trop Dis. 2010 Aug 3;4(8):e773. doi: 10.1371/journal.pntd.0000773.","PLoS Negl Trop Dis.  2010","PubMed","citation","PMID:20689815 | PMCID:PMC2914752","pubmed","20689815","create date:2010/08/07 | first author:Ogoma SB",
"Infectious Lassa virus, but not filoviruses, is restricted by BST-2/tetherin.","/pubmed/20686043","Radoshitzky SR, Dong L, Chi X, Clester JC, Retterer C, Spurgers K, Kuhn JH, Sandwick S, Ruthel G, Kota K, Boltz D, Warren T, Kranzusch PJ, Whelan SP, Bavari S.","J Virol. 2010 Oct;84(20):10569-80. doi: 10.1128/JVI.00103-10. Epub 2010 Aug 4.","J Virol.  2010","PubMed","citation","PMID:20686043 | PMCID:PMC2950602","pubmed","20686043","create date:2010/08/06 | first author:Radoshitzky SR",
"[Importation of infectious diseases to Europe via animals and animal products: risks and pathways].","/pubmed/20669546","Brugère-Picoux J, Chomel B.","Bull Acad Natl Med. 2009 Nov;193(8):1805-18; discussion 1819. French. ","Bull Acad Natl Med.  2009","PubMed","citation","PMID:20669546","pubmed","20669546","create date:2010/07/31 | first author:Brugère-Picoux J",
"Rift Valley fever virus seroprevalence in human rural populations of Gabon.","/pubmed/20668541","Pourrut X, Nkoghé D, Souris M, Paupy C, Paweska J, Padilla C, Moussavou G, Leroy EM.","PLoS Negl Trop Dis. 2010 Jul 27;4(7):e763. doi: 10.1371/journal.pntd.0000763.","PLoS Negl Trop Dis.  2010","PubMed","citation","PMID:20668541 | PMCID:PMC2910672","pubmed","20668541","create date:2010/07/30 | first author:Pourrut X",
"Novel suspension cell-based vaccine production systems for Rift Valley fever virus-like particles.","/pubmed/20655330","Mandell RB, Koukuntla R, Mogler LJ, Carzoli AK, Holbrook MR, Martin BK, Vahanian N, Link CJ, Flick R.","J Virol Methods. 2010 Nov;169(2):259-68. doi: 10.1016/j.jviromet.2010.07.015. Epub 2010 Jul 22.","J Virol Methods.  2010","PubMed","citation","PMID:20655330","pubmed","20655330","create date:2010/07/27 | first author:Mandell RB",
"Comparison between active and passive surveillance within the network of epidemiological surveillance of animal diseases in Chad.","/pubmed/20655291","Ouagal M, Hendrikx P, Saegerman C, Berkvens D.","Acta Trop. 2010 Nov;116(2):147-51. doi: 10.1016/j.actatropica.2010.07.004. Epub 2010 Jul 22.","Acta Trop.  2010","PubMed","citation","PMID:20655291","pubmed","20655291","create date:2010/07/27 | first author:Ouagal M",
"Arboviral encephalitides: transmission, emergence, and pathogenesis.","/pubmed/20652430","Hollidge BS, González-Scarano F, Soldan SS.","J Neuroimmune Pharmacol. 2010 Sep;5(3):428-42. doi: 10.1007/s11481-010-9234-7. Epub 2010 Jul 22. Review.","J Neuroimmune Pharmacol.  2010","PubMed","citation","PMID:20652430 | PMCID:PMC3286874","pubmed","20652430","create date:2010/07/24 | first author:Hollidge BS",
"Advances in Rift Valley fever research: insights for disease prevention.","/pubmed/20613512","LaBeaud AD, Kazura JW, King CH.","Curr Opin Infect Dis. 2010 Oct;23(5):403-8. doi: 10.1097/QCO.0b013e32833c3da6. Review.","Curr Opin Infect Dis.  2010","PubMed","citation","PMID:20613512 | PMCID:PMC3126654","pubmed","20613512","create date:2010/07/09 | first author:LaBeaud AD",
"Vaccination with DNA plasmids expressing Gn coupled to C3d or alphavirus replicons expressing gn protects mice against Rift Valley fever virus.","/pubmed/20582312","Bhardwaj N, Heise MT, Ross TM.","PLoS Negl Trop Dis. 2010 Jun 22;4(6):e725. doi: 10.1371/journal.pntd.0000725.","PLoS Negl Trop Dis.  2010","PubMed","citation","PMID:20582312 | PMCID:PMC2889828","pubmed","20582312","create date:2010/06/29 | first author:Bhardwaj N",
"Characterization of a sandfly fever Sicilian virus isolated during a sandfly fever epidemic in Turkey.","/pubmed/20579934","Carhan A, Uyar Y, Ozkaya E, Ertek M, Dobler G, Dilcher M, Wang Y, Spiegel M, Hufert F, Weidmann M.","J Clin Virol. 2010 Aug;48(4):264-9. doi: 10.1016/j.jcv.2010.05.011. Epub 2010 Jun 25.","J Clin Virol.  2010","PubMed","citation","PMID:20579934","pubmed","20579934","create date:2010/06/29 | first author:Carhan A",
"Rift Valley fever outbreaks in South Africa.","/pubmed/20562384","Perez AM, Medanic RC, Thurmond MC.","Vet Rec. 2010 Jun 19;166(25):798. doi: 10.1136/vr.c3062. No abstract available. ","Vet Rec.  2010","PubMed","citation","PMID:20562384","pubmed","20562384","create date:2010/06/22 | first author:Perez AM",
"Structure of the Rift Valley fever virus nucleocapsid protein reveals another architecture for RNA encapsidation.","/pubmed/20547879","Raymond DD, Piper ME, Gerrard SR, Smith JL.","Proc Natl Acad Sci U S A. 2010 Jun 29;107(26):11769-74. doi: 10.1073/pnas.1001760107. Epub 2010 Jun 14.","Proc Natl Acad Sci U S A.  2010","PubMed","citation","PMID:20547879 | PMCID:PMC2900692","pubmed","20547879","create date:2010/06/16 | first author:Raymond DD",
"Molecular biology of rift valley Fever virus.","/pubmed/20517489","Bouloy M, Weber F.","Open Virol J. 2010 Apr 22;4:8-14. doi: 10.2174/1874357901004020008.","Open Virol J.  2010","PubMed","citation","PMID:20517489 | PMCID:PMC2878978","pubmed","20517489","create date:2010/06/03 | first author:Bouloy M",
"Rift Valley fever, South Africa - update.","/pubmed/20514731","[No authors listed]","Wkly Epidemiol Rec. 2010 May 21;85(21):185-6. English, French.  No abstract available. ","Wkly Epidemiol Rec.  2010","PubMed","citation","PMID:20514731","pubmed","20514731","create date:2010/06/03",
"Rift Valley fever during rainy seasons, Madagascar, 2008 and 2009.","/pubmed/20507747","Andriamandimby SF, Randrianarivo-Solofoniaina AE, Jeanmaire EM, Ravololomanana L, Razafimanantsoa LT, Rakotojoelinandrasana T, Razainirina J, Hoffmann J, Ravalohery JP, Rafisandratantsoa JT, Rollin PE, Reynes JM.","Emerg Infect Dis. 2010 Jun;16(6):963-70. doi: 10.3201/eid1606.091266.","Emerg Infect Dis.  2010","PubMed","citation","PMID:20507747 | PMCID:PMC3086256","pubmed","20507747","create date:2010/05/29 | first author:Andriamandimby SF",
"Distribution and seasonal activity of mosquitoes in al Madinah Al Munwwrah, Saudi Arabia.","/pubmed/20503600","Kheir SM, Alahmed AM, Al Kuriji MA, Al Zubyani SF.","J Egypt Soc Parasitol. 2010 Apr;40(1):215-27.","J Egypt Soc Parasitol.  2010","PubMed","citation","PMID:20503600","pubmed","20503600","create date:2010/05/28 | first author:Kheir SM",
"[Fatal haemorrhagic rift valley fever: a case at Madagascar].","/pubmed/20486358","Raveloson NE, Ramorasata JC, Rasolofohanitrininosy R, Rakotoarivony ST, Andrianjatovo JJ, Sztark F.","Med Trop (Mars). 2010 Apr;70(2):177-9. French. ","Med Trop (Mars).  2010","PubMed","citation","PMID:20486358","pubmed","20486358","create date:2010/05/22 | first author:Raveloson NE",
"Rift Valley fever, South Africa.","/pubmed/20480979","[No authors listed]","Wkly Epidemiol Rec. 2010 May 14;85(20):177-8. English, French.  No abstract available. ","Wkly Epidemiol Rec.  2010","PubMed","citation","PMID:20480979","pubmed","20480979","create date:2010/05/21",
"Rift Valley fever in Kenya: history of epizootics and identification of vulnerable districts.","/pubmed/20478084","Murithi RM, Munyua P, Ithondeka PM, Macharia JM, Hightower A, Luman ET, Breiman RF, Njenga MK.","Epidemiol Infect. 2011 Mar;139(3):372-80. doi: 10.1017/S0950268810001020. Epub 2010 May 18.","Epidemiol Infect.  2011","PubMed","citation","PMID:20478084","pubmed","20478084","create date:2010/05/19 | first author:Murithi RM",
"Evaluation of the efficacy and safety of the Rift Valley Fever Clone 13 vaccine in sheep.","/pubmed/20470792","Dungu B, Louw I, Lubisi A, Hunter P, von Teichman BF, Bouloy M.","Vaccine. 2010 Jun 23;28(29):4581-7. doi: 10.1016/j.vaccine.2010.04.085. Epub 2010 May 12.","Vaccine.  2010","PubMed","citation","PMID:20470792","pubmed","20470792","create date:2010/05/18 | first author:Dungu B",
"Rift Valley Fever among febrile patients at New Halfa hospital, eastern Sudan.","/pubmed/20465791","Hassanain AM, Noureldien W, Karsany MS, Saeed el NS, Aradaib IE, Adam I.","Virol J. 2010 May 13;7:97. doi: 10.1186/1743-422X-7-97.","Virol J.  2010","PubMed","citation","PMID:20465791 | PMCID:PMC2877681","pubmed","20465791","create date:2010/05/15 | first author:Hassanain AM",
"Panzootics and the poor: devising a global livestock disease prioritisation framework for poverty alleviation.","/pubmed/20462148","Heffernan C.","Rev Sci Tech. 2009 Dec;28(3):897-907.","Rev Sci Tech.  2009","PubMed","citation","PMID:20462148","pubmed","20462148","create date:2010/05/14 | first author:Heffernan C",
"Rift Valley fever virus immunity provided by a paramyxovirus vaccine vector.","/pubmed/20434545","Kortekaas J, de Boer SM, Kant J, Vloet RP, Antonis AF, Moormann RJ.","Vaccine. 2010 Jun 17;28(27):4394-401. doi: 10.1016/j.vaccine.2010.04.048. Epub 2010 Apr 29.","Vaccine.  2010","PubMed","citation","PMID:20434545","pubmed","20434545","create date:2010/05/04 | first author:Kortekaas J",
"Identification of potential vectors of and detection of antibodies against Rift Valley fever virus in livestock during interepizootic periods.","/pubmed/20433377","Rostal MK, Evans AL, Sang R, Gikundi S, Wakhule L, Munyua P, Macharia J, Feikin DR, Breiman RF, Njenga MK.","Am J Vet Res. 2010 May;71(5):522-6. doi: 10.2460/ajvr.71.5.522.","Am J Vet Res.  2010","PubMed","citation","PMID:20433377","pubmed","20433377","create date:2010/05/04 | first author:Rostal MK",
"Rift Valley fever virus: an unrecognized emerging threat?","/pubmed/20421731","Mandell RB, Flick R.","Hum Vaccin. 2010 Jul;6(7):597-601.","Hum Vaccin.  2010","PubMed","citation","PMID:20421731","pubmed","20421731","create date:2010/04/28 | first author:Mandell RB",
"Emergent infectious uveitis.","/pubmed/20404989","Khairallah M, Jelliti B, Jenzeri S.","Middle East Afr J Ophthalmol. 2009 Oct;16(4):225-38. doi: 10.4103/0974-9233.58426.","Middle East Afr J Ophthalmol.  2009","PubMed","citation","PMID:20404989 | PMCID:PMC2855663","pubmed","20404989","create date:2010/04/21 | first author:Khairallah M",
"A perspective on emerging mosquito and phlebotomine-borne diseases in Europe.","/pubmed/20403312","Hendrickx G, Lancelot R.","Euro Surveill. 2010 Mar 11;15(10):19503. No abstract available. ","Euro Surveill.  2010","PubMed","citation","PMID:20403312","pubmed","20403312","create date:2010/04/21 | first author:Hendrickx G",
